id	name	description	price
1	Apple iPhone 15 Pro 64GB Black 2023 - SKU 01	A premium smartphone with advanced camera, fast processor, OLED display and all day battery. Category: smartphone. Brand: Apple. Color: Black. Configuration: 64GB.	66.19
2	Apple iPhone 14 64GB Black 2023 - SKU 01	A reliable smartphone with sharp display, strong camera quality and smooth everyday performance. Category: smartphone. Brand: Apple. Color: Black. Configuration: 64GB.	103.38
3	Apple MacBook Air M3 64GB Black 2023 - SKU 01	A lightweight laptop for work, school, travel, coding and creative productivity. Category: laptop. Brand: Apple. Color: Black. Configuration: 64GB.	140.57
4	Apple iPad Air 64GB Black 2023 - SKU 01	A thin tablet for streaming, note taking, drawing and mobile productivity. Category: tablet. Brand: Apple. Color: Black. Configuration: 64GB.	177.76
5	Samsung Galaxy S24 Ultra 64GB Black 2023 - SKU 01	A flagship Android phone with bright display, zoom camera and high performance chipset. Category: smartphone. Brand: Samsung. Color: Black. Configuration: 64GB.	214.95
6	Samsung Galaxy A55 64GB Black 2023 - SKU 01	A mid range Android phone with AMOLED display, strong battery life and clean design. Category: smartphone. Brand: Samsung. Color: Black. Configuration: 64GB.	251.14
7	Samsung Galaxy Tab S9 64GB Black 2023 - SKU 01	A premium Android tablet for media, drawing, multitasking and business use. Category: tablet. Brand: Samsung. Color: Black. Configuration: 64GB.	288.33
8	Google Pixel 8 Pro 64GB Black 2023 - SKU 01	A camera focused Android phone with AI features and clean software experience. Category: smartphone. Brand: Google. Color: Black. Configuration: 64GB.	325.52
9	Google Pixel 7a 64GB Black 2023 - SKU 01	A compact Android phone with excellent camera quality and reliable battery life. Category: smartphone. Brand: Google. Color: Black. Configuration: 64GB.	362.71
10	OnePlus 12 64GB Black 2023 - SKU 01	A fast Android phone with smooth display, rapid charging and flagship performance. Category: smartphone. Brand: OnePlus. Color: Black. Configuration: 64GB.	399.90
11	Xiaomi Redmi Note 13 Pro 64GB Black 2023 - SKU 01	A value smartphone with large display, high resolution camera and long battery life. Category: smartphone. Brand: Xiaomi. Color: Black. Configuration: 64GB.	436.09
12	Sony Xperia 1 V 64GB Black 2023 - SKU 01	A creator focused phone with cinematic display, pro camera controls and rich audio. Category: smartphone. Brand: Sony. Color: Black. Configuration: 64GB.	473.28
13	Motorola Moto G Power 64GB Black 2023 - SKU 01	An affordable phone with large battery, simple software and dependable performance. Category: smartphone. Brand: Motorola. Color: Black. Configuration: 64GB.	510.47
14	Nokia G50 64GB Black 2023 - SKU 01	A durable smartphone with clean Android experience and reliable connectivity. Category: smartphone. Brand: Nokia. Color: Black. Configuration: 64GB.	547.66
15	Dell XPS 13 64GB Black 2023 - SKU 01	A premium ultrabook with compact chassis, sharp screen and excellent keyboard. Category: laptop. Brand: Dell. Color: Black. Configuration: 64GB.	584.85
16	Dell XPS 15 64GB Black 2023 - SKU 01	A powerful laptop for creators, developers and professionals who need extra performance. Category: laptop. Brand: Dell. Color: Black. Configuration: 64GB.	621.04
17	HP Spectre x360 64GB Black 2023 - SKU 01	A convertible laptop with touchscreen, premium design and flexible productivity modes. Category: laptop. Brand: HP. Color: Black. Configuration: 64GB.	658.23
